instance_id,isbn,hit_ndl_search,locate_now,locate_init,count_lent,own_category_id
191011_123418,9784896376326,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191011_123425,9784816321429,TRUE,HQ-7F-W07,HQ-7F-W07,0,0
191011_123435,9784844322108,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_123443,9784822231712,TRUE,HQ-7F-W07,HQ-7F-W07,0,4
191011_123456,9784883806812,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191011_123504,9784166607402,TRUE,ATG-105G-5F,HQ-7F-W07,0,7
191011_123515,9784004310723,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191011_123533,9784022737113,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191011_123540,9784004309086,TRUE,HQ-7F-W07,HQ-7F-W07,0,9
191011_123547,9784334033637,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_123604,9784334033453,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191011_123612,9784004310457,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191011_123621,9784480068705,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191011_123632,9784569657837,TRUE,HQ-7F-W07,HQ-7F-W07,0,9
191011_123639,9784569801827,TRUE,ATG-105G-5F,HQ-7F-W07,1,1
191011_123649,9784413041034,TRUE,HQ-7F-W07,HQ-7F-W07,0,8
191011_123655,9784041024133,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191011_123704,9784106106989,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_123711,9784121021434,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_123722,9784062726382,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191011_123740,9784526052668,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191011_123749,9784844318880,TRUE,HQ-7F-W07,HQ-7F-W07,0,0
191011_123832,9784774121772,TRUE,HQ-7F-W07,HQ-7F-W07,0,0
191011_123911,9784838720897,TRUE,HQ-7F-W07,HQ-7F-W07,0,4
191011_123925,9784532142797,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191011_124122,9784004316084,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
